step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time
467,10,0.65,0.0474,,
468,9,0.83,0.0343,,
469,6,0.65,0.0308,,
470,6,0.77,0.0534,,
471,6,0.88,0.0579,,
472,6,0.6,0.054,,
473,6,0.68,0.0539,,
474,6,0.83,0.064,,
475,6,0.04,0.0705,,
476,6,0.09,0.0601,,
477,4,0.14,0.0701,,
478,7,0.18,0.0631,,
479,6,0.23,0.0562,,
480,6,0.27,0.0519,,
481,6,0.27,0.0671,,
482,6,0.03,0.0577,,
483,6,0.0,0.0647,,
484,5,0.0,0.0731,,
485,5,0.0,0.0584,,
486,4,0.0,0.0583,,
487,3,0.0,0.0733,,
488,1,0.04,0.0792,,
489,1,0.12,0.0702,,
490,4,0.21,0.0696,,
491,7,0.35,0.0904,,
492,7,0.55,0.0481,,
493,8,0.38,0.0649,,
494,9,0.27,0.0656,,
495,8,0.2,0.0668,,
496,8,0.0,0.0704,,
497,8,0.0,0.0775,,
498,9,0.0,0.0832,,
499,9,0.04,0.0948,,
500,8,0.07,0.1075,,
501,5,0.11,0.1204,,
502,8,0.14,0.1106,,
503,7,0.19,0.0788,,
504,6,0.22,0.0979,,
505,9,0.23,0.0799,,
506,10,0.0,0.0672,,
507,10,0.0,0.0744,,
508,9,0.0,0.0603,,
509,9,0.0,0.0623,,
510,7,0.0,0.0936,,
511,7,0.0,0.071,,
512,7,0.07,0.073,,
513,8,0.16,0.0662,,
514,10,0.17,0.0551,,
515,9,0.08,0.0493,,
516,6,0.17,0.0546,,
517,6,0.15,0.0501,,
518,6,0.23,0.0501,,
519,6,0.31,0.0736,,
520,5,0.38,0.0687,,
521,5,0.46,0.0777,,
522,5,0.2,0.0497,,
523,4,0.29,0.053,,
524,3,0.38,0.0728,,
525,3,0.48,0.0745,,
526,7,0.61,0.0731,,
527,7,0.74,0.0812,,
528,7,0.87,0.074,,
529,7,0.59,0.0852,,
530,7,0.19,0.0903,,
531,6,0.0,0.0914,,
532,6,0.0,0.0714,,
533,5,0.0,0.0589,,
534,5,0.0,0.0675,,
535,2,0.0,0.0622,,
536,2,0.0,0.0733,,
537,2,0.09,0.0697,,
538,6,0.19,0.0825,,
539,6,0.3,0.0532,,
540,6,0.4,0.0552,,
541,6,0.23,0.0388,,
542,6,0.23,0.0428,,
543,5,0.27,0.054,,
544,5,0.33,0.0358,,
545,5,0.37,0.0505,,
546,5,0.5,0.0576,,
547,4,0.65,0.0591,,
548,3,0.84,0.0718,,
549,5,0.61,0.0708,,
550,7,0.83,0.0817,,
551,7,0.83,0.0691,,
552,8,0.83,0.0713,,
553,10,0.81,0.0707,,
554,11,0.59,0.0564,,
555,12,0.7,0.0573,,
556,12,0.81,0.0549,,
557,12,0.93,0.0567,,
558,12,1.04,0.057,,
559,11,0.63,0.0453,,
560,8,0.33,0.0538,,
561,8,0.19,0.066,,
562,9,0.27,0.0564,,
563,9,0.15,0.0543,,
564,8,0.23,0.063,,
565,8,0.3,0.0581,,
566,8,0.17,0.0614,,
567,8,0.23,0.0619,,
568,7,0.31,0.0584,,
569,7,0.38,0.0749,,
570,7,0.25,0.0589,,
571,5,0.29,0.0812,,
572,4,0.32,0.0787,,
573,3,0.37,0.0883,,
574,6,0.48,0.1006,,
575,7,0.59,0.0981,,
576,7,0.62,0.0467,,
577,7,0.62,0.0783,,
578,7,0.18,0.0608,,
579,5,0.21,0.0566,,
580,5,0.0,0.0481,,
581,5,0.0,0.0612,,
582,4,0.0,0.0613,,
583,3,0.0,0.0782,,
584,2,0.04,0.0559,,
585,2,0.1,0.0676,,
586,4,0.12,0.0783,,
587,5,0.0,0.0555,,
588,5,0.0,0.0666,,
589,4,0.0,0.0702,,
590,4,0.0,0.0654,,
591,4,0.0,0.0644,,
592,4,0.0,0.0579,,
593,4,0.0,0.0627,,
594,6,0.0,0.0654,,
595,8,0.0,0.0791,,
596,6,0.0,0.0591,,
597,5,0.0,0.0829,,
598,8,0.05,0.0733,,
599,9,0.1,0.0491,,
600,9,0.0,0.0583,,
601,9,0.0,0.0456,,
602,8,0.0,0.061,,
603,7,0.0,0.0644,,
604,5,0.0,0.0583,,
605,5,0.0,0.074,,
606,5,0.04,0.0665,,
607,4,0.12,0.0531,,
608,2,0.2,0.0603,,
609,2,0.29,0.083,,
610,3,0.43,0.1014,,
611,8,0.59,0.0726,,
612,9,0.41,0.0775,,
613,9,0.32,0.0712,,
614,9,0.4,0.0718,,
615,8,0.48,0.0739,,
616,8,0.56,0.0814,,
617,9,0.24,0.0852,,
618,9,0.08,0.0874,,
619,9,0.16,0.0632,,
620,4,0.28,0.062,,
621,5,0.2,0.0789,,
622,7,0.29,0.0844,,
623,8,0.39,0.045,,
624,8,0.48,0.0469,,
625,7,0.48,0.0557,,
626,7,0.3,0.0524,,
627,6,0.04,0.0416,,
628,4,0.08,0.0676,,
629,4,0.12,0.0507,,
630,4,0.16,0.0766,,
631,3,0.18,0.0806,,
632,2,0.25,0.07,,
633,3,0.33,0.0707,,
634,6,0.15,0.1072,,
635,6,0.23,0.0839,,
636,6,0.32,0.0615,,
637,6,0.21,0.0597,,
638,5,0.03,0.0634,,
639,5,0.0,0.1012,,
640,8,0.0,0.0727,,
641,8,0.0,0.0811,,
642,7,0.0,0.0863,,
643,7,0.0,0.0965,,
644,6,0.0,0.1026,,
645,6,0.0,0.0902,,
