step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
364,28.0,0.58,0.108,,,0,0.9120841643726423
365,29.0,0.71,0.137,,,0,0.911628122290456
366,26.0,0.85,0.153,,,0,0.9111723082293108
367,30.0,1.02,0.151,,,0,0.9107167220751963
368,31.0,1.22,0.167,,,0,0.9102613637141588
369,34.0,1.26,0.18,,,0,0.9098062330323018
370,33.0,1.47,0.155,,,0,0.9093513299157857
371,33.0,1.69,0.114,,,0,0.9088966542508279
372,33.0,1.96,0.09,,,0,0.9084422059237025
373,31.0,2.14,0.076,,,0,0.9079879848207407
374,30.0,2.42,0.068,,,0,0.9079879848207407
375,30.0,2.85,0.083,,,0,0.9079879848207407
376,29.0,2.33,0.086,,,0,0.9079879848207407
377,31.0,2.27,0.109,,,0,0.9079879848207407
378,29.0,0.64,0.111,,,0,0.9075339908283304
379,29.0,0.66,0.081,,,0,0.9070802238329163
380,28.0,0.88,0.092,,,0,0.9066266837209999
381,26.0,1.21,0.094,,,0,0.9061733703791394
382,26.0,1.49,0.088,,,0,0.9057202836939499
383,26.0,1.79,0.105,,,0,0.9052674235521029
384,24.0,2.16,0.114,,,0,0.9048147898403269
385,26.0,2.14,0.126,,,0,0.9043623824454068
386,24.0,2.47,0.109,,,0,0.9039102012541841
387,23.0,2.83,0.126,,,0,0.9034582461535571
388,25.0,3.24,0.095,,,0,0.9030065170304803
389,25.0,1.49,0.084,,,0,0.9025550137719651
390,24.0,1.6,0.087,,,0,0.9021037362650792
391,18.0,1.73,0.111,,,0,0.9016526843969468
392,19.0,2.05,0.103,,,0,0.9012018580547484
393,22.0,1.98,0.097,,,0,0.900751257125721
394,18.0,1.86,0.105,,,0,0.900751257125721
395,17.0,1.8,0.093,,,0,0.900751257125721
396,19.0,2.02,0.1,,,0,0.900751257125721
397,23.0,1.8,0.141,,,0,0.900751257125721
398,22.0,0.66,0.12,,,0,0.9003008814971583
399,23.0,0.54,0.112,,,0,0.8998507310564098
400,24.0,0.64,0.11,,,0,0.8994008056908817
401,24.0,0.46,0.104,,,0,0.8989511052880362
402,24.0,0.16,0.13,,,0,0.8985016297353923
403,23.0,0.22,0.14,,,0,0.8980523789205246
404,26.0,0.31,0.135,,,0,0.8976033527310644
405,26.0,0.41,0.11,,,0,0.8971545510546989
406,28.0,0.54,0.125,,,0,0.8967059737791716
407,28.0,0.67,0.102,,,0,0.8962576207922821
