step,queue,avg_wait_time,co2_kg,ambulance_time,firetruck_time
528,28,10.87,0.0843,,
529,28,11.94,0.0847,,
530,27,11.97,0.0773,,
531,28,12.03,0.0893,,
532,27,12.26,0.0536,,
533,27,12.79,0.0603,,
534,26,13.35,0.0618,,
535,27,13.97,0.0678,,
536,29,13.08,0.0736,,
537,28,14.03,0.0728,,
538,28,15.03,0.068,,
539,28,15.67,0.0724,,
540,33,6.91,0.0728,,
541,33,3.3,0.0894,,
542,29,1.07,0.1015,,
543,31,0.4,0.0926,,
544,34,0.44,0.0862,,
545,30,0.58,0.1037,,
546,30,0.75,0.111,,
547,30,0.91,0.1131,,
548,29,1.11,0.1421,,
549,29,1.32,0.1239,,
550,26,1.49,0.119,,
551,26,1.73,0.1264,,
552,27,1.81,0.1253,,
553,25,2.09,0.1167,,
554,25,2.34,0.094,,
555,23,2.65,0.0992,,
556,22,3.17,0.08,,
557,22,3.08,0.0968,,
558,21,3.32,0.0866,,
559,22,4.09,0.1106,,
560,24,4.03,0.1027,,
561,24,4.64,0.1207,,
562,24,5.35,0.0878,,
563,23,5.97,0.0779,,
564,24,7.1,0.0492,,
565,23,7.67,0.0497,,
566,23,8.52,0.0468,,66
567,24,9.43,0.0529,,
568,26,8.78,0.0688,,
569,26,9.34,0.0793,,
570,26,9.94,0.0739,,
571,24,10.87,0.0444,,
572,25,11.52,0.0619,,
573,25,12.16,0.0599,,
574,23,11.48,0.0577,,
575,24,11.04,0.0561,,
576,30,7.38,0.0696,,
577,30,7.72,0.0791,,
578,28,8.1,0.0767,,
579,30,8.69,0.0863,,
580,31,9.1,0.0913,,
581,29,9.51,0.096,,
582,29,9.95,0.1206,,
583,32,10.38,0.1287,,
584,34,9.84,0.1271,,
585,34,4.88,0.0997,,
586,34,2.56,0.0878,,
587,31,0.72,0.0788,,
588,31,0.29,0.0953,,
589,31,0.43,0.087,,
590,28,0.56,0.1051,,
591,29,0.78,0.1273,,
592,31,0.91,0.1031,,
593,27,1.16,0.1199,,
594,27,1.42,0.1228,,
595,25,1.67,0.0825,,
596,24,1.95,0.11,,
597,24,2.23,0.067,,
598,21,2.57,0.089,,
599,22,2.86,0.0845,,
600,21,3.05,0.1158,,
601,21,3.36,0.1066,,
602,21,4.08,0.0937,,
603,22,4.56,0.0879,,
604,21,5.08,0.0881,,
605,21,5.62,0.0805,,
606,21,6.37,0.0904,,
607,21,7.0,0.0836,,
608,23,7.29,0.0681,,
609,23,8.24,0.0879,,
610,23,9.03,0.0748,,
611,23,9.56,0.0685,,
612,28,8.73,0.0697,,
613,27,9.19,0.0912,,
614,27,9.92,0.0902,,
615,27,10.42,0.0975,,
616,31,10.1,0.1027,,
617,31,10.59,0.1124,,
618,31,9.79,0.0972,,
619,31,8.95,0.104,,
620,32,9.34,0.1115,,
621,32,9.74,0.0983,,
622,30,10.16,0.1021,,
623,31,10.61,0.08,,
624,33,10.27,0.0738,,
625,33,10.73,0.0846,,
626,32,11.2,0.0646,,
627,32,12.0,0.0672,,
628,32,12.6,0.0772,,
629,32,13.22,0.0754,,
630,32,7.56,0.0628,,
631,32,4.23,0.0795,,
632,31,1.86,0.0816,,
633,31,1.02,0.0811,,
634,30,1.1,0.0769,,
635,27,1.07,0.0748,,
636,28,1.35,0.0825,,
637,25,1.65,0.0914,,
638,24,2.0,0.1005,,
639,25,2.29,0.081,,
640,24,2.28,0.1261,,
641,23,2.53,0.1259,,
642,23,2.88,0.1069,,
643,19,3.33,0.1223,,
644,20,3.82,0.0904,,
645,19,4.27,0.1122,,
646,17,5.03,0.0918,56,
647,18,5.41,0.0865,,
648,23,4.48,0.1112,,
649,23,5.0,0.1157,,
650,22,5.31,0.1137,,
651,23,5.95,0.1134,,
652,25,6.84,0.1048,,
653,25,7.24,0.0848,,
654,25,7.86,0.0933,,
655,28,8.28,0.0927,,
656,30,8.24,0.0915,,
657,30,8.89,0.0898,,
658,30,9.58,0.0848,,
659,29,10.06,0.0697,,
660,29,11.15,0.05,,
661,28,11.65,0.0618,,
662,28,12.15,0.0624,,
