step,total_queue,avg_wait_time,co2_kg,amb_time,fire_time,reward,epsilon
342,18,3.19,0.056,,,0,0.8665310726048653
343,16,3.73,0.064,,,0,0.8658378477467814
344,17,4.23,0.065,,,0,0.865145177468584
345,19,4.24,0.075,,,0,0.8644530613266092
346,19,4.69,0.067,,,0,0.8637614988775478
347,19,5.36,0.07,,,0,0.8630704896784458
348,19,6.31,0.072,,,0,0.862380033286703
349,20,6.85,0.066,,,0,0.8616901292600736
350,20,7.38,0.073,,,0,0.8610007771566656
351,20,8.24,0.069,,,0,0.8603119765349402
352,18,8.84,0.068,,,0,0.8603119765349402
353,21,8.46,0.076,,,0,0.8603119765349402
354,21,8.11,0.072,,,0,0.8603119765349402
355,20,8.04,0.051,,,0,0.8603119765349402
356,20,2.3,0.045,,,0,0.8596237269537123
357,20,0.41,0.034,,,0,0.8589360279721493
358,19,0.0,0.042,,,0,0.8582488791497715
359,18,0.04,0.05,,,0,0.8575622800464517
360,17,0.15,0.062,,,0,0.8568762302224145
361,23,0.23,0.066,,,0,0.8561907292382366
362,21,0.37,0.079,,,0,0.855505776654846
363,20,0.53,0.087,,,0,0.854821372033522
364,21,0.63,0.116,,,0,0.8541375149358952
365,20,0.76,0.111,,,0,0.8534542049239464
366,19,0.92,0.141,,,0,0.8527714415600073
367,17,1.11,0.117,,,0,0.8520892244067593
368,18,1.33,0.119,,,0,0.8514075530272338
369,21,1.45,0.14,,,0,0.850726426984812
370,21,1.7,0.107,,,0,0.8500458458432242
371,20,1.92,0.079,,,0,0.8493658091665496
372,20,2.26,0.057,,,0,0.8486863165192163
373,20,2.49,0.077,,,0,0.8486863165192163
374,18,2.38,0.073,,,0,0.8486863165192163
375,17,2.75,0.067,,,0,0.8486863165192163
376,18,3.17,0.083,,,0,0.8486863165192163
377,19,0.06,0.075,,,0,0.8480073674660009
378,19,0.07,0.071,,,0,0.8473289615720281
379,18,0.1,0.063,,,0,0.8466510984027704
380,16,0.21,0.067,,,0,0.8459737775240482
381,16,0.39,0.071,,,0,0.845296998502029
382,16,0.57,0.072,,,0,0.8446207609032274
383,15,0.81,0.069,,,0,0.8439450642945048
384,15,1.11,0.06,,,0,0.8432699082430691
385,17,1.23,0.104,,,0,0.8425952923164747
386,16,1.53,0.101,,,0,0.8419212160826215
387,15,1.8,0.096,,,0,0.8412476791097554
388,15,2.07,0.08,,,0,0.8405746809664676
389,15,2.33,0.081,,,0,0.8399022212216944
390,15,2.69,0.079,,,0,0.839230299444717
391,13,2.82,0.094,,,0,0.8385589152051612
392,13,3.11,0.076,,,0,0.8378880680729971
393,15,3.2,0.077,,,0,0.8378880680729971
394,14,2.97,0.077,,,0,0.8378880680729971
395,14,3.23,0.076,,,0,0.8378880680729971
396,14,3.0,0.081,,,0,0.8378880680729971
397,18,0.39,0.072,,,0,0.8372177576185387
398,18,0.0,0.094,,,0,0.8365479834124439
399,16,0.03,0.068,,,0,0.8358787450257139
400,14,0.16,0.084,,,0,0.8352100420296933
401,19,0.25,0.095,,,0,0.8345418739960695
402,18,0.38,0.09,,,0,0.8338742404968726
403,17,0.55,0.108,,,0,0.8332071411044751
404,18,0.74,0.105,,,0,0.8325405753915915
405,18,0.9,0.097,,,0,0.8318745429312783
406,18,1.14,0.09,,,0,0.8312090432969332
407,18,1.31,0.096,,,0,0.8305440760622956
408,18,1.48,0.074,,,0,0.8298796408014458
409,20,1.45,0.078,,,0,0.8292157370888047
410,19,1.69,0.081,,,0,0.8285523644991336
411,20,1.94,0.072,,,0,0.8278895226075342
412,21,2.31,0.088,,,0,0.8278895226075342
413,19,2.74,0.079,,,0,0.8278895226075342
414,19,3.32,0.056,,,0,0.8278895226075342
415,19,3.76,0.057,,,0,0.8278895226075342
416,20,4.24,0.063,,,0,0.8278895226075342
417,22,4.1,0.08,,,0,0.8278895226075342
418,22,4.55,0.094,,,0,0.8278895226075342
419,21,5.03,0.072,,,0,0.8278895226075342
420,21,5.55,0.048,,,0,0.8278895226075342
421,20,6.29,0.047,,,0,0.8272272109894482
422,20,7.35,0.058,,,0,0.8265654292206566
423,20,7.92,0.063,,,0,0.82590417687728
424,21,8.5,0.071,,,0,0.8252434535357782
425,23,7.87,0.067,,,0,0.8245832587729496
426,23,9.33,0.053,15,,0,0.8239235921659313
427,23,9.93,0.05,,,0,0.8232644532921984
428,23,10.96,0.045,,,0,0.8226058417295646
429,23,12.08,0.038,,,0,0.821947757056181
430,22,12.76,0.042,,,0,0.821290198850536
431,22,12.92,0.048,,,0,0.8206331666914556
432,23,13.58,0.056,,,0,0.8199766601581024
433,28,10.0,0.08,,,0,0.819320678829976
434,28,10.49,0.082,,,0,0.818665222286912
435,28,10.97,0.081,,,0,0.8180102901090824
436,28,11.16,0.097,,,0,0.8173558818769951
437,30,11.95,0.099,,,0,0.8167019971714935
438,30,12.46,0.102,,,0,0.8160486355737563
439,30,11.89,0.11,,,0,0.8160486355737563
440,32,12.0,0.116,,,0,0.8160486355737563
441,33,10.2,0.116,,,0,0.8160486355737563
442,33,9.9,0.116,,,0,0.8160486355737563
443,32,4.65,0.056,,,0,0.8153957966652973
444,32,1.48,0.051,,,0,0.814743480027965
445,32,0.2,0.06,,,0,0.8140916852439426
446,29,0.15,0.05,,,0,0.8134404118957475
447,30,0.31,0.069,,,0,0.8127896595662308
448,29,0.49,0.064,,,0,0.8121394278385778
449,28,0.67,0.07,,,0,0.811489716296307
450,28,0.9,0.097,,,0,0.8108405245232699
451,27,1.14,0.085,,,0,0.8101918521036513
452,24,1.43,0.084,,,0,0.8095436986219684
453,24,1.71,0.092,,,0,0.8088960636630708
454,23,2.05,0.08,,,0,0.8082489468121403
455,21,2.38,0.099,,,0,0.8076023476546906
456,22,2.74,0.096,,,0,0.8069562657765669
457,21,2.86,0.083,,,0,0.8063107007639456
458,21,3.28,0.076,,,0,0.8056656522033344
459,20,3.8,0.078,,,0,0.8050211196815718
460,21,4.28,0.073,,,0,0.8050211196815718
461,20,3.85,0.075,,,0,0.8050211196815718
462,19,3.72,0.094,,,0,0.8050211196815718
463,19,3.89,0.091,,,0,0.8050211196815718
464,19,1.09,0.082,,,0,0.8043771027858265
465,22,0.11,0.079,,,0,0.8037336011035978
466,18,0.2,0.081,,,0,0.8030906142227149
467,18,0.36,0.08,,,0,0.8024481417313367
468,18,0.59,0.066,,,0,0.8018061832179516
469,20,0.68,0.076,,,0,0.8011647382713772
470,20,0.92,0.119,,,0,0.8005238064807602
471,20,1.16,0.113,,,0,0.7998833874355755
472,18,1.39,0.147,,,0,0.799243480725627
473,22,1.51,0.154,,,0,0.7986040859410465
474,22,1.79,0.163,,,0,0.7979652026722936
475,21,2.03,0.131,,,0,0.7973268305101558
476,22,2.32,0.127,,,0,0.7966889690457477
477,24,2.67,0.117,,,0,0.796051617870511
478,23,3.03,0.09,,,0,0.7954147765762146
479,23,3.41,0.063,,,0,0.7947784447549536
480,24,3.94,0.053,,,0,0.7941426219991496
481,25,3.81,0.066,,,0,0.7941426219991496
482,24,4.0,0.055,,,0,0.7941426219991496
483,22,3.94,0.046,,,0,0.7941426219991496
484,22,3.81,0.051,,,0,0.7941426219991496
485,23,0.9,0.045,,,0,0.7935073079015503
486,23,0.24,0.037,,,0,0.7928725020552291
487,21,0.1,0.058,,,0,0.7922382040535849
488,20,0.28,0.051,,,0,0.791604413490342
489,22,0.42,0.053,,,0,0.7909711299595498
490,21,0.67,0.062,,,0,0.7903383530555821
491,21,0.91,0.061,,,0,0.7897060823731376
492,20,1.15,0.063,,,0,0.789074317507239
493,19,1.44,0.084,,,0,0.7884430580532332
494,19,1.79,0.07,,,0,0.7878123036067907
495,17,2.03,0.101,,,0,0.7871820537639053
496,17,2.39,0.101,,,0,0.7865523081208942
497,20,2.46,0.112,,,0,0.7859230662743975
498,18,2.78,0.125,,,0,0.7852943278213779
499,18,3.29,0.13,,,0,0.7846660923591208
500,19,3.74,0.104,,,0,0.7840383594852335
501,20,3.97,0.112,,,0,0.7834111287976453
502,19,3.91,0.115,,,0,0.7834111287976453
503,18,4.22,0.101,,,0,0.7834111287976453
504,19,4.39,0.119,,,0,0.7834111287976453
505,25,3.56,0.109,,,0,0.7834111287976453
506,24,1.68,0.108,,,0,0.7834111287976453
507,23,0.51,0.083,,,0,0.7834111287976453
508,24,0.03,0.084,,,0,0.7834111287976453
509,26,0.11,0.074,,,0,0.7834111287976453
510,22,0.19,0.084,,,0,0.7834111287976453
511,22,0.33,0.097,,,0,0.7834111287976453
512,25,0.51,0.104,,,0,0.7834111287976453
513,25,0.68,0.102,,,0,0.7834111287976453
514,23,0.92,0.098,,,0,0.7834111287976453
515,23,1.18,0.073,,,0,0.7834111287976453
516,23,1.49,0.071,,,0,0.7834111287976453
517,22,1.81,0.065,,,0,0.7834111287976453
518,20,2.14,0.066,,,0,0.7834111287976453
519,20,2.26,0.072,,,0,0.7834111287976453
520,20,2.67,0.077,,,0,0.7834111287976453
521,22,2.61,0.097,,,0,0.7827843998946071
522,22,3.06,0.09,,,0,0.7821581723746914
523,22,3.59,0.093,,,0,0.7815324458367917
524,21,4.25,0.065,,,0,0.7809072198801222
525,21,4.84,0.06,,,0,0.7802824941042181
526,21,5.57,0.071,,,0,0.7796582681089347
527,21,6.13,0.074,,,0,0.7790345414944475
528,22,7.18,0.077,,27,0,0.778411313861252
529,24,6.81,0.084,,,0,0.7777885848101629
530,24,7.58,0.084,,,0,0.7771663539423147
531,24,8.43,0.077,,,0,0.7765446208591609
532,22,9.07,0.075,,,0,0.7759233851624735
533,23,9.7,0.047,,,0,0.7753026464543435
534,23,10.69,0.052,,,0,0.77468240433718
535,23,11.34,0.051,,,0,0.7740626584137102
536,22,11.43,0.07,,,0,0.7740626584137102
537,24,8.88,0.072,,,0,0.7740626584137102
538,24,8.41,0.065,,,0,0.7740626584137102
539,24,8.88,0.054,,,0,0.7740626584137102
540,23,3.32,0.058,,,0,0.7734434082869792
541,27,0.33,0.063,,,0,0.7728246535603496
542,27,0.03,0.087,,,0,0.7722063938375012
543,24,0.11,0.077,,,0,0.7715886287224312
544,26,0.24,0.085,,,0,0.7709713578194533
545,28,0.34,0.094,,,0,0.7703545807331976
546,27,0.46,0.109,,,0,0.7697382970686111
547,26,0.63,0.101,,,0,0.7691225064309561
548,26,0.8,0.126,,,0,0.7685072084258113
549,26,0.98,0.122,,,0,0.7678924026590707
550,25,1.17,0.127,,,0,0.7672780887369434
551,23,1.37,0.123,,,0,0.7666642662659537
552,23,1.59,0.137,,,0,0.766050934852941
553,25,1.64,0.107,,,0,0.7654380941050586
554,23,1.89,0.104,,,0,0.7648257436297745
555,22,2.21,0.097,,,0,0.7642138830348707
556,23,2.17,0.087,,,0,0.7642138830348707
557,22,2.3,0.099,,,0,0.7642138830348707
558,21,2.58,0.109,,,0,0.7642138830348707
559,21,2.65,0.088,,,0,0.7642138830348707
560,20,0.41,0.101,,,0,0.7636025119284428
561,22,0.03,0.08,,,0,0.7629916299189
562,21,0.05,0.081,,,0,0.7623812366149649
563,20,0.17,0.085,,,0,0.7617713316256729
564,18,0.33,0.08,,,0,0.7611619145603723
565,19,0.55,0.077,,,0,0.760552985028724
566,18,0.83,0.051,,,0,0.759944542640701
567,16,1.14,0.064,,,0,0.7593365870065885
568,16,1.48,0.071,,,0,0.7587291177369831
569,17,1.61,0.082,,,0,0.7581221344427935
570,16,1.9,0.085,,,0,0.7575156367352393
571,16,2.19,0.091,,,0,0.7569096242258511
572,15,2.6,0.066,,,0,0.7563040965264703
573,15,3.03,0.067,,,0,0.7556990532492491
